date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:09:16	61692/61692	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Oct%202018%2011:00:19%20GMT	https://www.benjerry.com/modules/bnj-templates/css/fonts/en/severancethesequel-regular-webfont-en.ttf	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/modules/bnj-templates/css/fonts/en/severancethesequel-regular-webfont-en-3.html	(from https://www.benjerry.com/about-us)
00:09:16	14120/14120	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Oct%202018%2011:00:19%20GMT	https://www.benjerry.com/modules/bnj-templates/css/fonts/en/proximanova-reg-webfont-en.woff2	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/modules/bnj-templates/css/fonts/en/proximanova-reg-webfont-en.html	(from https://www.benjerry.com/about-us)
00:09:16	17544/17544	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Oct%202018%2011:00:19%20GMT	https://www.benjerry.com/modules/bnj-templates/css/fonts/en/proximanova-reg-webfont-en.woff	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/modules/bnj-templates/css/fonts/en/proximanova-reg-webfont-en-2.html	(from https://www.benjerry.com/about-us)
00:09:17	34548/34548	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Oct%202018%2011:00:19%20GMT	https://www.benjerry.com/modules/bnj-templates/css/fonts/en/proximanova-reg-webfont-en.ttf	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/modules/bnj-templates/css/fonts/en/proximanova-reg-webfont-en-3.html	(from https://www.benjerry.com/about-us)
00:09:18	4276/4276	---M-Z	200	added ('OK')	text/javascript	etag:%22590422002%22	http://cdn.pricespider.com/1/lib/ps-widget.js	/home/vidur/websites/Ben%20and%20Jerry's/cdn.pricespider.com/1/lib/ps-widget.js	(from https://www.benjerry.com/about-us)
00:09:18	193240/193240	---M-Z	200	added ('OK')	application/x-javascript	etag:%22cb9d1782ed164364540d437991a1dfbb:1540242010%22	http://assets.adobedtm.com/e21dfb008dab7987a37e05e0ce8e8f311baa4a2a/satelliteLib-deac3718fb4e421fa7fd3aa48f9db24c264ce15c.js	/home/vidur/websites/Ben%20and%20Jerry's/assets.adobedtm.com/e21dfb008dab7987a37e05e0ce8e8f311baa4a2a/satelliteLib-deac3718fb4e421fa7fd3aa48f9db24c264ce15c.js	(from https://www.benjerry.com/about-us)
00:09:20	43233/43233	---MC-	200	added ('OK')	text/javascript	date:Thu,%2011%20Oct%202018%2019:41:26%20GMT	http://www.google-analytics.com/analytics.js	/home/vidur/websites/Ben%20and%20Jerry's/www.google-analytics.com/analytics.js	(from https://www.benjerry.com/about-us)
00:09:20	0/0	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2021:15:10%20GMT	https://www.benjerry.com/modules/ckeditor/javascript/	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/modules/ckeditor/javascript/index.html	(from https://www.benjerry.com/about-us)
00:09:20	3220/3220	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Oct%202018%2011:00:19%20GMT	https://www.benjerry.com/modules/bnj-templates/img/logo-small.png	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/modules/bnj-templates/img/logo-small.png	(from https://www.benjerry.com/about-us)
00:09:20	140115/140115	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2007:09:20%20GMT	https://www.benjerry.com/ice-cream-near-me	/home/vidur/websites/Ben%20and%20Jerry's/www.benjerry.com/ice-cream-near-me.html	(from https://www.benjerry.com/about-us)
